Lines/Markers	Lines/Markers	X	X
BOPA1_11931-389	11_20096	U	0
BOPA1_11944-542	11_20097	5H	542621417
BOPA1_11979-928	11_20099	U	0
BOPA1_12005-188	11_20101	U	0
BOPA1_12007-70	11_20102	U	0
BOPA1_12027-128	11_20103	U	0
BOPA1_1204-1104	11_20104	U	0
BOPA1_12045-83	11_20105	5H	383291293
BOPA1_12100-378	11_20107	U	0
BOPA1_1212-890	11_10055	U	0
BOPA1_12128-313	11_20109	U	0
BOPA1_1213-1959	11_10056	7H	41835408
BOPA1_12210-480	11_10061	U	0
BOPA1_12280-797	11_20115	3H	559686530
BOPA1_12368-207	11_20117	7H	648324431
BOPA1_12384-427	11_20118	6H	546757074
BOPA1_1240-844	11_10064	U	0
BOPA1_1241-1649	11_20119	4H	620872317
BOPA1_12492-541	11_20121	U	0
BOPA1_1250-923	11_10065	2H	723372150
BOPA1_1270-1263	11_20125	1H	516309831
BOPA1_1272-459	11_10069	7H	492206525
BOPA1_1283-332	11_10072	U	0
BOPA1_1286-990	11_20129	5H	130602489
BOPA1_1290-729	11_10073	7H	419567362
BOPA1_1291-936	11_20130	U	0
BOPA1_12925-332	11_20132	U	0
BOPA1_1294-473	11_10075	U	0
BOPA1_1298-1450	11_20133	U	0
BOPA1_1300-1462	11_20134	U	0
BOPA1_1304-478	11_20135	4H	488134311
BOPA1_1306-408	11_10080	U	0
BOPA1_13081-199	11_20136	U	0
BOPA1_13095-187	11_20138	U	0
BOPA1_13108-412	11_20139	7H	640932887
BOPA1_13178-89	11_20141	U	0
BOPA1_13301-90	11_20145	U	0
BOPA1_13379-171	11_20146	U	0
BOPA1_1344-930	11_10085	U	0
BOPA1_1347-1061	11_20149	U	0
BOPA1_13494-110	11_20150	U	0
BOPA1_13589-175	11_20153	1H	516507942
BOPA1_1375-2534	11_10090	U	0
BOPA1_1381-547	11_10092	U	0
BOPA1_1385-827	11_10093	U	0
BOPA1_139-1263	11_10094	U	0
BOPA1_13924-403	11_20159	U	0
BOPA1_1435-670	11_20168	U	0
BOPA1_1437-687	11_20170	U	0
BOPA1_14371-423	11_20169	1H	516153706
BOPA1_1440-1148	11_20172	3H	14955141
BOPA1_1447-464	11_20173	U	0
BOPA1_1449-1103	11_10101	U	0
BOPA1_14644-498	11_20178	4H	600671237
BOPA1_14765-388	11_20180	4H	35548340
BOPA1_14832-296	11_20182	2H	704890469
BOPA1_1486-908	11_10109	2H	718882008
BOPA1_1490-959	11_20184	U	0
BOPA1_1493-839	11_20185	U	0
BOPA1_1497-628	11_10111	U	0
BOPA1_1499-290	11_10112	U	0
BOPA1_1501-353	11_20188	5H	599123281
BOPA1_151-730	11_10115	U	0
BOPA1_1511-545	11_20192	U	0
BOPA1_1513-514	11_10113	U	0
BOPA1_15141-257	11_20193	U	0
BOPA1_1518-624	11_20195	7H	111292841
BOPA1_152-329	11_10116	5H	106968082
BOPA1_1523-1136	11_20197	U	0
BOPA1_1549-1898	11_20200	U	0
BOPA1_1553-753	11_10120	U	0
BOPA1_1555-631	11_10121	U	0
BOPA1_1565-514	11_10124	U	0
BOPA1_1578-552	11_20205	U	0
BOPA1_1582-63	11_20206	U	0
BOPA1_1583-522	11_10127	U	0
BOPA1_1584-263	11_10128	2H	697193072
BOPA1_1588-537	11_10129	U	0
BOPA1_1590-544	11_10130	U	0
BOPA1_1593-1597	11_20210	U	0
BOPA1_1603-1165	11_20212	U	0
BOPA1_1613-291	11_20215	U	0
BOPA1_1625-303	11_20220	U	0
BOPA1_1628-410	11_10136	U	0
BOPA1_1630-1150	11_10137	U	0
BOPA1_1635-691	11_10138	U	0
BOPA1_1639-613	11_20222	3H	556704475
BOPA1_166-154	11_20226	U	0
BOPA1_1660-347	11_20225	7H	15114736
BOPA1_1670-369	11_20229	1H	473582513
BOPA1_1674-468	11_20230	U	0
BOPA1_1676-557	11_10143	U	0
BOPA1_1692-742	11_20232	U	0
BOPA1_1697-636	11_10146	U	0
BOPA1_1698-619	11_10147	U	0
BOPA1_171-1301	11_20236	5H	509768671
BOPA1_1711-542	11_10150	U	0
BOPA1_1732-491	11_20239	U	0
BOPA1_1735-1424	11_10153	U	0
BOPA1_1745-823	11_10157	U	0
BOPA1_1746-1527	11_10158	3H	493556239
BOPA1_1761-804	11_10161	U	0
BOPA1_1762-837	11_20242	7H	8001693
BOPA1_1769-545	11_10165	6H	14306449
BOPA1_1786-297	11_10167	5H	513141229
BOPA1_1789-782	11_20247	U	0
BOPA1_1800-1101	11_10169	7H	597748994
BOPA1_1826-229	11_20251	2H	474752381
BOPA1_1831-241	11_20252	3H	3868857
BOPA1_1847-1745	11_10174	U	0
BOPA1_1852-509	11_10175	U	0
BOPA1_1857-64	11_10176	U	0
BOPA1_1861-2382	11_10177	5H	214882696
BOPA1_1862-765	11_10178	U	0
BOPA1_1863-275	11_20259	U	0
BOPA1_1866-866	11_20260	1H	324791460
BOPA1_1872-1372	11_20262	U	0
BOPA1_1894-2132	11_10182	7H	628806795
BOPA1_1899-739	11_10185	U	0
BOPA1_1906-429	11_10186	U	0
BOPA1_1910-1343	11_20265	5H	456062406
BOPA1_1911-55	11_20266	U	0
BOPA1_1914-936	11_10189	6H	439399099
BOPA1_1917-848	11_10191	2H	532288289
BOPA1_1923-265	11_20267	U	0
BOPA1_1944-1901	11_20269	U	0
BOPA1_1946-698	11_10196	U	0
BOPA1_1954-1198	11_20272	4H	639755186
BOPA1_1969-1322	11_10202	U	0
BOPA1_1977-1385	11_20276	3H	469771904
BOPA1_1992-1714	11_20283	U	0
BOPA1_1997-77	11_10209	U	0
BOPA1_2020-539	11_10214	U	0
BOPA1_2026-302	11_20287	U	0
BOPA1_2027-1307	11_20288	3H	367111723
BOPA1_2029-1143	11_10216	U	0
BOPA1_203-1128	11_10217	5H	623995670
BOPA1_2036-1027	11_20290	U	0
BOPA1_2041-1317	11_20291	6H	67706383
BOPA1_2047-850	11_10220	U	0
BOPA1_2052-792	11_20293	U	0
BOPA1_2055-947	11_10221	U	0
BOPA1_2057-412	11_20294	U	0
BOPA1_2066-1133	11_10224	3H	423198950
BOPA1_2067-775	11_10225	U	0
BOPA1_2091-639	11_20298	U	0
BOPA1_210-450	11_10227	U	0
BOPA1_211-259	11_20300	U	0
BOPA1_2124-984	11_10232	U	0
BOPA1_2128-874	11_10234	U	0
BOPA1_2144-852	11_10236	U	0
BOPA1_2146-2256	11_20306	U	0
BOPA1_2167-335	11_20309	U	0
BOPA1_2168-111	11_10240	U	0
BOPA1_217-677	11_10243	U	0
BOPA1_2174-1345	11_20311	U	0
BOPA1_2176-891	11_10244	U	0
BOPA1_2183-227	11_20314	U	0
BOPA1_2188-425	11_20315	U	0
BOPA1_2196-195	11_10247	4H	585200008
BOPA1_2223-1688	11_10251	U	0
BOPA1_2225-2611	11_10252	5H	199522599
BOPA1_2229-274	11_20324	U	0
BOPA1_2231-557	11_20325	3H	473173134
BOPA1_2244-3247	11_10254	U	0
BOPA1_2249-1308	11_20327	U	0
BOPA1_2251-643	11_10256	7H	217287328
BOPA1_2259-488	11_20329	U	0
BOPA1_2265-363	11_10259	U	0
BOPA1_2267-1173	11_10260	5H	38558392
BOPA1_2268-601	11_10261	4H	59520368
BOPA1_2274-1226	11_10262	4H	484881273
BOPA1_2277-634	11_10263	2H	697331699
BOPA1_2283-2913	11_20332	5H	371035139
BOPA1_2288-126	11_20333	U	0
BOPA1_2290-796	11_20334	U	0
BOPA1_2294-573	11_20336	U	0
BOPA1_2297-1250	11_10269	4H	636352588
BOPA1_2298-1526	11_10270	U	0
BOPA1_2314-1412	11_10275	U	0
BOPA1_2315-702	11_10276	3H	544421660
BOPA1_2328-866	11_20342	U	0
BOPA1_233-1327	11_10279	U	0
BOPA1_2334-1827	11_20343	U	0
BOPA1_2335-1614	11_10280	3H	638623189
BOPA1_2338-1572	11_10281	3H	499361359
BOPA1_2350-107	11_20346	U	0
BOPA1_2352-277	11_20347	U	0
BOPA1_237-534	11_10289	U	0
BOPA1_2371-950	11_10287	2H	651372755
BOPA1_2389-526	11_20355	6H	562812969
BOPA1_2391-566	11_20356	3H	55590274
BOPA1_2400-956	11_20358	4H	601707793
BOPA1_2407-1771	11_10294	1H	59789397
BOPA1_2417-924	11_10297	U	0
BOPA1_2421-520	11_20361	U	0
BOPA1_2429-1929	11_10299	7H	126298543
BOPA1_2444-437	11_10301	7H	590487359
BOPA1_2447-546	11_20362	U	0
BOPA1_245-433	11_20363	U	0
BOPA1_2457-2346	11_20365	U	115139269
BOPA1_2459-237	11_10302	1H	447580367
BOPA1_2462-971	11_10303	U	0
BOPA1_2464-1228	11_20366	2H	720345060
BOPA1_2465-793	11_20367	U	0
BOPA1_2482-126	11_20370	5H	445240245
BOPA1_2490-1786	11_10309	U	0
BOPA1_2493-660	11_10310	5H	661443694
BOPA1_2496-1916	11_20371	1H	13581567
BOPA1_2505-850	11_20372	U	0
BOPA1_2511-533	11_20373	1H	263584
BOPA1_2528-2111	11_10317	2H	383104840
BOPA1_2529-2364	11_10318	U	0
BOPA1_2533-773	11_10319	4H	5074747
BOPA1_2559-1796	11_10323	6H	341712225
BOPA1_2572-986	11_20383	U	0
BOPA1_2574-410	11_20384	4H	607800862
BOPA1_2575-692	11_20385	7H	607948063
BOPA1_2580-1456	11_10325	U	0
BOPA1_2582-767	11_10326	U	0
BOPA1_2585-2901	11_10327	U	0
BOPA1_2588-229	11_10328	U	0
BOPA1_2592-1237	11_10329	U	0
BOPA1_2594-172	11_20386	5H	13846829
BOPA1_2601-171	11_20387	2H	118999843
BOPA1_2611-1846	11_20388	U	0
BOPA1_2614-1522	11_10334	U	0
BOPA1_2616-2560	11_10335	U	0
BOPA1_2617-1234	11_10336	5H	637433297
BOPA1_2633-498	11_10338	U	0
BOPA1_2634-2228	11_20390	U	0
BOPA1_264-571	11_20392	U	0
BOPA1_2646-1277	11_20394	U	0
BOPA1_265-1229	11_10343	U	0
BOPA1_2651-1774	11_10342	U	0
BOPA1_2669-1012	11_10346	7H	70162054
BOPA1_2676-256	11_10349	U	0
BOPA1_2677-501	11_10350	U	0
BOPA1_2688-1022	11_10352	2H	699755569
BOPA1_2702-284	11_10355	U	0
BOPA1_2711-234	11_10357	U	0
BOPA1_2719-672	11_10358	U	0
BOPA1_272-944	11_10360	U	0
BOPA1_2726-852	11_20402	5H	668642360
BOPA1_2751-2205	11_10365	3H	374141067
BOPA1_2754-1027	11_20409	3H	652157212
BOPA1_2765-406	11_20410	3H	36874153
BOPA1_2769-1245	11_20411	U	0
BOPA1_2776-637	11_20412	4H	502029408
BOPA1_2792-749	11_10370	U	0
BOPA1_2795-1707	11_20415	U	0
BOPA1_2802-685	11_20417	2H	254972206
BOPA1_2809-271	11_20419	U	0
BOPA1_2822-739	11_10376	2H	725655512
BOPA1_283-1432	11_10379	U	0
BOPA1_2832-377	11_20422	U	0
BOPA1_2838-663	11_10380	3H	142551916
BOPA1_2847-485	11_10381	U	0
BOPA1_285-2932	11_10383	U	0
BOPA1_2851-848	11_20427	1H	314308188
BOPA1_2861-1941	11_20428	3H	341217274
BOPA1_2867-373	11_10385	5H	630712927
BOPA1_2878-574	11_10387	4H	644449830
BOPA1_2881-935	11_20434	U	0
BOPA1_2897-208	11_20439	U	0
BOPA1_2901-1137	11_20440	U	0
BOPA1_2906-1177	11_20441	U	0
BOPA1_2911-1136	11_10390	U	0
BOPA1_2924-1189	11_10394	7H	240518944
BOPA1_2934-1076	11_20444	U	0
BOPA1_2944-1813	11_10398	2H	685490222
BOPA1_2947-1245	11_20449	U	0
BOPA1_2955-452	11_20451	U	0
BOPA1_2964-382	11_10399	U	0
BOPA1_2968-1066	11_10400	U	0
BOPA1_2977-1925	11_20453	U	0
BOPA1_2978-938	11_10401	5H	664997600
BOPA1_299-163	11_20454	4H	622965542
BOPA1_2998-508	11_20458	2H	240221324
BOPA1_3000-1074	11_10404	2H	708297390
BOPA1_3007-1337	11_10405	U	0
BOPA1_3010-1391	11_20460	U	0
BOPA1_3012-1125	11_20461	5H	266762999
BOPA1_3026-1011	11_10409	4H	3772116
BOPA1_3038-541	11_20465	U	0
BOPA1_304-194	11_20466	U	0
BOPA1_3042-1225	11_10411	4H	424870308
BOPA1_3047-1400	11_20467	6H	560157418
BOPA1_3048-1349	11_20468	6H	498863494
BOPA1_3056-1317	11_10414	5H	552512589
BOPA1_3078-2190	11_20472	4H	494212244
BOPA1_3101-111	11_10419	U	0
BOPA1_3107-422	11_20479	1H	71683
BOPA1_3122-909	11_10422	U	0
BOPA1_3127-273	11_20482	4H	509230439
BOPA1_3131-1029	11_10424	4H	292267514
BOPA1_3140-491	11_20485	U	0
BOPA1_3143-1276	11_20486	3H	417329164
BOPA1_3147-440	11_20488	6H	518723087
BOPA1_3164-1386	11_10427	U	0
BOPA1_3178-1276	11_20493	U	0
BOPA1_3180-1771	11_10429	U	0
BOPA1_3186-1560	11_10431	U	0
BOPA1_3187-1073	11_20495	7H	22774581
BOPA1_3190-644	11_10432	4H	68389188
BOPA1_3193-671	11_20496	U	0
BOPA1_3200-242	11_20497	U	0
BOPA1_3201-603	11_10433	U	0
BOPA1_3206-670	11_20498	2H	687725717
BOPA1_3212-2979	11_20500	2H	183381488
BOPA1_3214-945	11_10436	2H	542670441
BOPA1_3218-1094	11_20501	U	0
BOPA1_3220-723	11_20502	U	0
BOPA1_3225-520	11_20504	U	0
BOPA1_3232-201	11_10442	U	0
BOPA1_3246-1135	11_20509	U	0
BOPA1_3256-1196	11_20511	U	0
BOPA1_3263-2865	11_10443	1H	558025045
BOPA1_3266-570	11_10444	U	0
BOPA1_3271-1422	11_10446	U	0
BOPA1_3277-446	11_20514	U	0
BOPA1_3282-555	11_20515	U	0
BOPA1_3306-446	11_20521	3H	543137369
BOPA1_3313-1443	11_10451	U	0
BOPA1_3315-749	11_20523	U	0
BOPA1_3326-1954	11_20524	5H	265028358
BOPA1_334-1164	11_20528	2H	621115373
BOPA1_3340-1042	11_20527	U	0
BOPA1_3344-1147	11_20529	U	0
BOPA1_3345-247	11_10454	U	0
BOPA1_3348-395	11_10455	U	0
BOPA1_3349-759	11_20531	U	0
BOPA1_3355-605	11_20532	U	0
BOPA1_3359-1118	11_20534	7H	6621762
BOPA1_3362-644	11_20536	U	0
BOPA1_3378-619	11_10461	6H	56162524
BOPA1_3379-1037	11_10462	6H	41299134
BOPA1_3390-205	11_20545	5H	630052019
BOPA1_3391-2137	11_20546	5H	645995656
BOPA1_3398-163	11_20549	5H	557014868
BOPA1_34-472	11_10471	1H	496933333
BOPA1_3404-2470	11_20550	1H	498975662
BOPA1_3413-1488	11_20552	U	0
BOPA1_3416-692	11_10467	U	0
BOPA1_3417-1451	11_20553	U	0
BOPA1_3432-290	11_20557	U	0
BOPA1_3433-1087	11_20558	U	0
BOPA1_3436-354	11_10469	U	0
BOPA1_3443-1234	11_20560	U	0
BOPA1_3444-1044	11_10470	1H	92433217
BOPA1_3450-692	11_20561	U	0
BOPA1_3453-1974	11_20563	2H	12243677
BOPA1_3469-1152	11_10475	U	0
BOPA1_3477-1248	11_20568	U	0
BOPA1_3478-1024	11_10477	U	0
BOPA1_3489-854	11_10480	U	0
BOPA1_3498-761	11_20571	U	0
BOPA1_3506-668	11_20572	6H	335738837
BOPA1_3507-2859	11_20573	U	0
BOPA1_3532-1947	11_20577	6H	506194012
BOPA1_3549-743	11_20580	4H	569760181
BOPA1_3551-2537	11_10490	U	0
BOPA1_3567-112	11_20583	3H	361099771
BOPA1_3576-2715	11_20585	U	0
BOPA1_3591-957	11_10496	6H	543914605
BOPA1_3598-489	11_10498	2H	82437223
BOPA1_3608-2133	11_20590	2H	733665592
BOPA1_3639-969	11_20594	1H	554604184
BOPA1_3644-1483	11_10509	U	52327655
BOPA1_3646-1984	11_20595	U	0
BOPA1_3650-311	11_20597	U	0
BOPA1_3656-341	11_10513	6H	374876068
BOPA1_3658-1310	11_20600	6H	182973407
BOPA1_3662-381	11_20602	U	0
BOPA1_3674-1352	11_10515	U	0
BOPA1_3675-2615	11_10516	U	0
BOPA1_3682-556	11_20605	U	0
BOPA1_3687-271	11_20606	U	0
BOPA1_3688-1291	11_20607	U	0
BOPA1_3689-1101	11_10520	U	0
BOPA1_3692-940	11_20609	U	0
BOPA1_3696-2238	11_10521	5H	597317333
BOPA1_3699-1543	11_20610	U	0
BOPA1_370-443	11_10524	5H	534122699
BOPA1_3702-982	11_10522	U	0
BOPA1_3709-716	11_10525	U	0
BOPA1_3710-852	11_10526	1H	64113901
BOPA1_3718-1026	11_20612	U	0
BOPA1_3743-1988	11_10534	7H	448912368
BOPA1_3751-1136	11_20617	1H	22567867
BOPA1_3759-1385	11_10536	5H	630531598
BOPA1_3763-595	11_10538	2H	707452624
BOPA1_3764-666	11_10539	U	0
BOPA1_3773-756	11_20620	U	0
BOPA1_3783-621	11_20623	U	0
BOPA1_3791-1525	11_20628	3H	601474414
BOPA1_3813-1629	11_20631	2H	445720209
BOPA1_3818-1123	11_10547	7H	651216818
BOPA1_382-2624	11_10550	U	0
BOPA1_3840-348	11_10551	U	0
BOPA1_3845-1089	11_10552	1H	419381787
BOPA1_3865-103	11_20636	U	0
BOPA1_3877-1923	11_20637	5H	582292797
BOPA1_3886-313	11_10559	3H	23094350
BOPA1_3892-2472	11_20639	3H	158707482
BOPA1_39-843	11_10578	U	0
BOPA1_3900-611	11_10563	U	0
BOPA1_3910-1648	11_10566	2H	739142893
BOPA1_3917-1365	11_10568	4H	480893354
BOPA1_3919-112	11_20644	U	0
BOPA1_3928-513	11_20645	5H	518151226
BOPA1_3931-1434	11_20646	U	0
BOPA1_3933-1077	11_20647	U	0
BOPA1_3949-1560	11_10570	U	0
BOPA1_397-288	11_20651	6H	165918717
BOPA1_398-1244	11_10576	U	0
BOPA1_3984-1920	11_10577	4H	69380591
BOPA1_3985-824	11_20653	5H	589787307
BOPA1_3987-1078	11_20654	U	0
BOPA1_3996-493	11_20656	U	0
BOPA1_3997-796	11_10580	U	0
BOPA1_4005-530	11_20657	1H	484964797
BOPA1_4015-1153	11_10582	5H	632548119
BOPA1_4019-302	11_20659	U	0
BOPA1_4020-643	11_20660	U	0
BOPA1_4025-300	11_10584	3H	624282646
BOPA1_4026-655	11_20662	U	0
BOPA1_4027-1814	11_10586	1H	538423095
BOPA1_4037-916	11_20667	U	0
BOPA1_4039-1686	11_10588	U	0
BOPA1_4047-898	11_20668	4H	646020727
BOPA1_4049-233	11_20669	U	0
BOPA1_4050-2006	11_10589	U	0
BOPA1_4051-1101	11_20670	U	0
BOPA1_4054-1326	11_20671	7H	95639213
BOPA1_4057-2114	11_10590	1H	555618219
BOPA1_4065-397	11_20674	U	0
BOPA1_407-259	11_20676	U	0
BOPA1_4070-386	11_20675	6H	94715959
BOPA1_4076-1056	11_10595	U	0
BOPA1_409-1643	11_10597	U	0
BOPA1_4098-758	11_20680	4H	19087562
BOPA1_41-695	11_10614	4H	623124965
BOPA1_4103-1386	11_10600	U	0
BOPA1_4105-1417	11_10601	3H	54950033
BOPA1_411-495	11_10602	2H	197904597
BOPA1_4117-472	11_20686	U	0
BOPA1_4126-1180	11_20687	U	0
BOPA1_4133-601	11_20689	U	0
BOPA1_4136-869	11_20690	2H	587894696
BOPA1_4137-798	11_20691	U	0
BOPA1_4139-888	11_10606	U	0
BOPA1_4146-1154	11_10608	U	0
BOPA1_4149-219	11_20694	U	0
BOPA1_4150-398	11_20695	U	0
BOPA1_4152-573	11_10610	4H	638202451
BOPA1_4154-364	11_20697	U	0
BOPA1_4163-1786	11_20698	U	0
BOPA1_4178-1592	11_10617	U	0
BOPA1_4184-393	11_20704	U	0
BOPA1_4191-268	11_20707	6H	47261864
BOPA1_4199-1530	11_20708	U	0
BOPA1_42-512	11_10628	U	0
BOPA1_421-528	11_10621	U	0
BOPA1_4213-2378	11_10620	3H	413469543
BOPA1_4218-1230	11_20711	U	0
BOPA1_4226-570	11_20712	U	0
BOPA1_4233-63	11_10624	U	0
BOPA1_4234-1944	11_20713	5H	479122439
BOPA1_4235-1617	11_20714	U	0
BOPA1_4240-749	11_10625	U	0
BOPA1_4241-445	11_20715	U	0
BOPA1_4250-402	11_20718	U	0
BOPA1_4256-833	11_20719	3H	62322435
BOPA1_4258-1498	11_20720	U	0
BOPA1_4275-1288	11_20722	U	0
BOPA1_4276-1082	11_20723	U	0
BOPA1_428-1519	11_20725	U	92479210
BOPA1_4280-295	11_10632	U	0
BOPA1_4313-482	11_10635	U	0
BOPA1_4321-1740	11_20728	6H	546608851
BOPA1_4331-1475	11_10638	2H	100641976
BOPA1_4334-482	11_20729	U	0
BOPA1_4338-133	11_20730	U	0
BOPA1_4342-528	11_10641	U	0
BOPA1_4377-571	11_20734	U	0
BOPA1_4389-551	11_20736	5H	514827552
BOPA1_4392-450	11_20737	5H	361450925
BOPA1_4393-1078	11_10644	1H	541351026
BOPA1_4396-567	11_10645	U	0
BOPA1_44-481	11_20745	U	0
BOPA1_4403-885	11_10646	U	0
BOPA1_4410-284	11_10648	U	0
BOPA1_4434-804	11_10651	2H	606128866
BOPA1_4443-1835	11_20742	U	0
BOPA1_4445-1911	11_20743	6H	43584781
BOPA1_4453-422	11_10653	U	0
BOPA1_4454-1080	11_20746	U	0
BOPA1_4456-443	11_10654	1H	4657144
BOPA1_4472-658	11_10656	2H	720349512
BOPA1_4475-478	11_20750	U	0
BOPA1_4488-514	11_10659	U	0
BOPA1_4511-1878	11_20757	1H	272999970
BOPA1_4535-1366	11_20762	U	0
BOPA1_454-1502	11_10667	U	0
BOPA1_4544-461	11_10668	4H	46140224
BOPA1_4547-1677	11_10669	U	0
BOPA1_4564-604	11_20765	4H	601568256
BOPA1_4565-1583	11_10671	U	0
BOPA1_4570-591	11_20766	U	0
BOPA1_4578-899	11_20769	U	0
BOPA1_4589-131	11_20771	U	0
BOPA1_4592-118	11_20772	1H	557125647
BOPA1_4593-2007	11_10672	3H	32615445
BOPA1_4594-971	11_10673	U	0
BOPA1_4611-178	11_10676	U	0
BOPA1_4616-503	11_20777	U	0
BOPA1_4618-1559	11_20778	U	0
BOPA1_4629-162	11_20781	U	0
BOPA1_4630-1036	11_10679	U	0
BOPA1_4636-1380	11_20782	4H	76087995
BOPA1_4641-266	11_20783	U	0
BOPA1_4642-1124	11_20784	6H	507569812
BOPA1_4643-867	11_10681	U	0
BOPA1_4644-1363	11_10682	U	0
BOPA1_4659-1261	11_10685	U	0
BOPA1_4665-882	11_10686	1H	476365129
BOPA1_4679-1594	11_20790	7H	62862491
BOPA1_4684-775	11_10688	5H	16277132
BOPA1_4686-1281	11_20791	5H	618538062
BOPA1_4691-721	11_20792	1H	504087501
BOPA1_4701-2395	11_20794	3H	23309513
BOPA1_4706-940	11_20795	U	0
BOPA1_4707-421	11_20796	U	0
BOPA1_4715-810	11_20797	U	0
BOPA1_4716-1205	11_20798	1H	375902959
BOPA1_4717-386	11_10692	U	0
BOPA1_4721-1335	11_20799	U	0
BOPA1_4728-1735	11_20801	3H	377137385
BOPA1_4737-368	11_10694	U	0
BOPA1_4771-380	11_20805	5H	562277989
BOPA1_4773-1009	11_10697	U	0
BOPA1_478-1291	11_10700	U	0
BOPA1_4787-1746	11_10702	U	0
BOPA1_4788-672	11_20807	U	0
BOPA1_4791-1541	11_20808	7H	591547771
BOPA1_4793-777	11_20810	U	0
BOPA1_4795-782	11_10705	U	0
BOPA1_4807-1328	11_20815	4H	580623354
BOPA1_482-1423	11_20820	U	0
BOPA1_4833-420	11_10707	U	0
BOPA1_4838-494	11_20824	U	0
BOPA1_4844-1737	11_10710	U	0
BOPA1_4845-123	11_20826	U	0
BOPA1_4849-1248	11_20827	7H	150246255
BOPA1_485-1369	11_20829	5H	641065683
BOPA1_4850-969	11_20828	7H	270644774
BOPA1_4861-640	11_10712	U	0
BOPA1_4879-1560	11_10714	2H	742203860
BOPA1_4895-145	11_20835	6H	361066555
BOPA1_4919-1051	11_20838	4H	617390305
BOPA1_4927-1340	11_20840	U	0
BOPA1_4930-1604	11_20841	U	0
BOPA1_4962-1295	11_20844	1H	525478648
BOPA1_497-386	11_10721	7H	75226809
BOPA1_4977-567	11_20845	U	0
BOPA1_4978-1030	11_10722	1H	539492243
BOPA1_4986-1214	11_10723	U	0
BOPA1_4988-858	11_10724	U	0
BOPA1_4991-1028	11_20847	U	0
BOPA1_5-1593	11_20885	7H	176154907
BOPA1_5004-375	11_20850	U	0
BOPA1_5008-2402	11_20851	3H	656335837
BOPA1_5013-1834	11_20853	4H	103852876
BOPA1_5017-407	11_20854	6H	325517744
BOPA1_5019-879	11_20855	U	0
BOPA1_5020-145	11_20856	3H	331630913
BOPA1_5028-1261	11_10726	7H	63748630
BOPA1_5029-1423	11_20858	U	0
BOPA1_5038-1035	11_10728	3H	491895585
BOPA1_5046-619	11_20862	U	0
BOPA1_5050-1101	11_20864	U	0
BOPA1_5058-404	11_20866	3H	169952332
BOPA1_5086-1239	11_20873	5H	9866403
